Rule,Confidence,Support,Lift
"(""'T1005'"",) -> (""'T1105'"",)",0.7453416149068323,0.16085790884718498,1.425704730052556
"(""'T1518.001'"",) -> (""'T1082'"",)",0.8282828282828283,0.10991957104557641,1.9012276612276613
"(""'T1106'"",) -> (""'T1105'"",)",0.726027397260274,0.14209115281501342,1.3887600983491395
"(""'T1132.001'"",) -> (""'T1105'"",)",0.7777777777777778,0.0938337801608579,1.4877492877492877
"(""'T1140'"",) -> (""'T1105'"",)",0.7268518518518519,0.21045576407506703,1.3903371320037987
"(""'T1204.001'"",) -> (""'T1105'"",)",0.8245614035087719,0.06300268096514745,1.577237966711651
"(""'T1204.002'"",) -> (""'T1105'"",)",0.7238805970149254,0.13002680965147453,1.3846536548029087
"(""'T1218.011'"",) -> (""'T1105'"",)",0.7307692307692307,0.07640750670241286,1.3978303747534515
"(""'T1497.001'"",) -> (""'T1105'"",)",0.8085106382978723,0.05093833780160858,1.5465357337697763
"(""'T1518.001'"",) -> (""'T1105'"",)",0.7777777777777778,0.1032171581769437,1.4877492877492877
"(""'T1555.003'"",) -> (""'T1105'"",)",0.7536231884057971,0.06970509383378017,1.441545893719807
"(""'T1132.001'"",) -> (""'T1082'"",)",0.7333333333333333,0.08847184986595175,1.6832820512820512
"(""'T1566.001'"",) -> (""'T1105'"",)",0.7289719626168224,0.10455764075067024,1.394392523364486
"(""'T1573.001'"",) -> (""'T1105'"",)",0.706766917293233,0.1260053619302949,1.351918257181415
"(""'T1573.002'"",) -> (""'T1105'"",)",0.7142857142857143,0.05361930294906166,1.3663003663003663
"(""'T1204.001'"",) -> (""'T1204.002'"",)",0.7894736842105263,0.06032171581769437,4.395129615082483
"(""'T1204.001'"",) -> (""'T1566.001'"",)",0.7017543859649122,0.05361930294906166,4.892605345138548
"(""'T1566.002'"",) -> (""'T1204.001'"",)",0.9285714285714286,0.06970509383378017,12.152882205513786
"(""'T1204.001'"",) -> (""'T1566.002'"",)",0.9122807017543859,0.06970509383378017,12.152882205513786
"(""'T1566.001'"",) -> (""'T1204.002'"",)",0.9626168224299065,0.1380697050938338,5.359045892035152
