Rule,Confidence,Support,Lift
"(""'T1003'"",) -> (""'T1059'"",)",0.7093023255813954,0.08176943699731903,1.2598560354374306
"(""'T1564'"",) -> (""'T1059'"",)",0.7575757575757576,0.10053619302949061,1.3455988455988457
"(""'T1562'"",) -> (""'T1059'"",)",0.776595744680851,0.09785522788203753,1.3793819655521784
"(""'T1555'"",) -> (""'T1059'"",)",0.7558139534883721,0.0871313672922252,1.3424695459579181
"(""'T1553'"",) -> (""'T1059'"",)",0.7391304347826086,0.06836461126005362,1.3128364389233955
"(""'T1548'"",) -> (""'T1059'"",)",0.7777777777777778,0.05630026809651475,1.3814814814814815
"(""'T1547'"",) -> (""'T1059'"",)",0.7552742616033755,0.23994638069705093,1.3415109503717098
"(""'T1546'"",) -> (""'T1059'"",)",0.8163265306122449,0.05361930294906166,1.4499514091350827
"(""'T1518'"",) -> (""'T1059'"",)",0.7130434782608696,0.10991957104557641,1.2665010351966874
"(""'T1497'"",) -> (""'T1059'"",)",0.7529411764705882,0.08579088471849866,1.3373669467787115
"(""'T1218'"",) -> (""'T1059'"",)",0.8,0.13404825737265416,1.4209523809523812
"(""'T1204'"",) -> (""'T1059'"",)",0.7808219178082192,0.15281501340482573,1.3868884540117417
"(""'T1140'"",) -> (""'T1059'"",)",0.7222222222222222,0.20911528150134048,1.2828042328042326
"(""'T1132'"",) -> (""'T1059'"",)",0.8333333333333334,0.11394101876675604,1.4801587301587302
"(""'T1112'"",) -> (""'T1059'"",)",0.734375,0.1260053619302949,1.3043898809523808
"(""'T1106'"",) -> (""'T1059'"",)",0.7465753424657534,0.14611260053619302,1.3260600130463143
"(""'T1105'"",) -> (""'T1059'"",)",0.717948717948718,0.3753351206434316,1.2752136752136751
"(""'T1102'"",) -> (""'T1059'"",)",0.75,0.08445040214477212,1.3321428571428573
"(""'T1090'"",) -> (""'T1059'"",)",0.7159090909090909,0.08445040214477212,1.2715909090909092
"(""'T1078'"",) -> (""'T1059'"",)",0.7333333333333333,0.058981233243967826,1.3025396825396824
"(""'T1074'"",) -> (""'T1059'"",)",0.7065217391304348,0.0871313672922252,1.2549171842650102
"(""'T1071'"",) -> (""'T1059'"",)",0.7099697885196374,0.31501340482573725,1.2610415767515466
"(""'T1566'"",) -> (""'T1059'"",)",0.8225806451612904,0.13672922252010725,1.4610599078341013
"(""'T1070'"",) -> (""'T1059'"",)",0.7518518518518519,0.27211796246648795,1.3354320987654322
"(""'T1573'"",) -> (""'T1059'"",)",0.7206703910614525,0.17292225201072386,1.280047885075818
"(""'T1588'"",) -> (""'T1059'"",)",0.7884615384615384,0.054959785522788206,1.4004578754578756
"(""'T1204'"",) -> (""'T1566'"",)",0.7945205479452054,0.1554959785522788,4.779938135218736
"(""'T1573'"",) -> (""'T1105'"",)",0.7039106145251397,0.16890080428954424,1.34645466265578
"(""'T1566'"",) -> (""'T1105'"",)",0.717741935483871,0.1193029490616622,1.3729114971050453
"(""'T1555'"",) -> (""'T1105'"",)",0.7325581395348837,0.08445040214477212,1.401252236135957
"(""'T1553'"",) -> (""'T1105'"",)",0.7246376811594203,0.06702412868632708,1.3861018208844298
"(""'T1548'"",) -> (""'T1105'"",)",0.7037037037037037,0.05093833780160858,1.3460588793922128
"(""'T1518'"",) -> (""'T1105'"",)",0.7652173913043478,0.11796246648793565,1.4637235228539578
"(""'T1497'"",) -> (""'T1105'"",)",0.8,0.09115281501340483,1.5302564102564102
"(""'T1218'"",) -> (""'T1105'"",)",0.736,0.12332439678284182,1.4078358974358973
"(""'T1204'"",) -> (""'T1105'"",)",0.7328767123287672,0.14343163538873996,1.401861608710924
"(""'T1140'"",) -> (""'T1105'"",)",0.7268518518518519,0.21045576407506703,1.3903371320037987
"(""'T1132'"",) -> (""'T1105'"",)",0.7549019607843137,0.1032171581769437,1.4439919557566616
"(""'T1106'"",) -> (""'T1105'"",)",0.726027397260274,0.14209115281501342,1.3887600983491395
"(""'T1102'"",) -> (""'T1105'"",)",0.7619047619047619,0.08579088471849866,1.4573870573870573
"(""'T1518'"",) -> (""'T1082'"",)",0.8,0.12332439678284182,1.8363076923076924
"(""'T1497'"",) -> (""'T1082'"",)",0.7294117647058823,0.08310991957104558,1.6742805429864254
"(""'T1132'"",) -> (""'T1082'"",)",0.7156862745098039,0.09785522788203753,1.6427752639517343
"(""'T1124'"",) -> (""'T1082'"",)",0.7941176470588235,0.07238605898123325,1.8228054298642538
"(""'T1082'"",) -> (""'T1105'"",)",0.7107692307692308,0.3096514745308311,1.3595739644970413
"(""'T1132'"",) -> (""'T1071'"",)",0.8137254901960784,0.11126005361930295,1.8339553343996209
"(""'T1071'"",) -> (""'T1105'"",)",0.7069486404833837,0.3136729222520107,1.3522658610271903
"(""'T1574'"",) -> (""'T1059'"",)",0.7236842105263158,0.07372654155495978,1.2854010025062657
"(""'T1057'"",) -> (""'T1082'"",)",0.7296137339055794,0.22788203753351208,1.6747441399801914
"(""'T1566'"",) -> (""'T1204'"",)",0.9354838709677419,0.1554959785522788,4.779938135218736
"(""'T1056'"",) -> (""'T1059'"",)",0.7291666666666666,0.14075067024128687,1.2951388888888888
"(""'T1074'"",) -> (""'T1027'"",)",0.7065217391304348,0.0871313672922252,1.4559812635118905
"(""'T1070'"",) -> (""'T1027'"",)",0.7,0.25335120643431636,1.4425414364640885
"(""'T1027'"",) -> (""'T1059'"",)",0.7099447513812155,0.3445040214477212,1.2609971060247305
"(""'T1055'"",) -> (""'T1027'"",)",0.75,0.14075067024128687,1.5455801104972378
"(""'T1053'"",) -> (""'T1027'"",)",0.7214285714285714,0.1353887399463807,1.486700868192581
"(""'T1049'"",) -> (""'T1027'"",)",0.7333333333333333,0.07372654155495978,1.511233885819521
